STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00093134,2000,12,0.0,69.96774193548387,47.67741935483871,59.096774193548384,2000-12-01
USW00093134,2001,1,5.59,64.41935483870968,44.354838709677416,54.67741935483871,2001-01-01
USW00093134,2001,2,8.87,62.535714285714285,46.82142857142857,55.0,2001-02-01
USW00093134,2001,3,1.17,67.93548387096774,52.806451612903224,60.53225806451613,2001-03-01
USW00093134,2001,4,1.11,68.46666666666667,51.333333333333336,60.13333333333333,2001-04-01
USW00093134,2001,5,0.0,75.51612903225806,59.064516129032256,67.58064516129032,2001-05-01
USW00093134,2001,6,0.0,79.83333333333333,61.666666666666664,71.0,2001-06-01
USW00093134,2001,7,0.0,79.6774193548387,62.16129032258065,71.16129032258064,2001-07-01
USW00093134,2001,8,0.0,81.48387096774194,62.516129032258064,72.29032258064517,2001-08-01
USW00093134,2001,9,0.0,80.53333333333333,62.2,71.66666666666667,2001-09-01
USW00093134,2001,10,0.06,76.38709677419355,59.903225806451616,68.45161290322581,2001-10-01
USW00093134,2001,11,1.42,70.6,53.4,62.233333333333334,2001-11-01
USW00093134,2001,12,1.3800000000000001,65.6774193548387,47.12903225806452,56.70967741935484,2001-12-01
USW00093134,2002,1,0.8,66.35483870967742,47.064516129032256,57.064516129032256,2002-01-01
USW00093134,2002,2,0.29,72.57142857142857,48.785714285714285,60.892857142857146,2002-02-01
USW00093134,2002,3,0.32,68.87096774193549,50.67741935483871,60.0,2002-03-01
USW00093134,2002,4,0.09000000000000001,68.5,53.96666666666667,61.53333333333333,2002-04-01
USW00093134,2002,5,0.05,72.48387096774194,56.38709677419355,64.70967741935483,2002-05-01
USW00093134,2002,6,0.01,76.33333333333333,61.06666666666667,69.0,2002-06-01
USW00093134,2002,7,0.0,81.06451612903226,63.516129032258064,72.41935483870968,2002-07-01
USW00093134,2002,8,0.0,80.45161290322581,62.29032258064516,71.58064516129032,2002-08-01
USW00093134,2002,9,0.0,82.36666666666666,61.9,72.4,2002-09-01
USW00093134,2002,10,0.05,71.87096774193549,57.45161290322581,64.96774193548387,2002-10-01
USW00093134,2002,11,2.43,75.33333333333333,53.46666666666667,64.61666666666666,2002-11-01
USW00093134,2002,12,3.31,65.3225806451613,47.774193548387096,56.806451612903224,2002-12-01
USW00093134,2003,1,0.0,74.41935483870968,52.29032258064516,63.61290322580645,2003-01-01
USW00093134,2003,2,4.64,67.28571428571429,50.42857142857143,59.035714285714285,2003-02-01
USW00093134,2003,3,4.32,71.64516129032258,52.12903225806452,62.12903225806452,2003-03-01
USW00093134,2003,4,0.7100000000000001,69.16666666666667,52.2,60.86666666666667,2003-04-01
USW00093134,2003,5,1.02,73.03225806451613,55.806451612903224,64.70967741935483,2003-05-01
USW00093134,2003,6,0.01,73.43333333333334,60.733333333333334,67.36666666666666,2003-06-01
USW00093134,2003,7,0.0,84.45161290322581,66.41935483870968,75.74193548387096,2003-07-01
USW00093134,2003,8,0.0,85.83870967741936,65.38709677419355,75.83870967741936,2003-08-01
USW00093134,2003,9,0.0,79.96666666666667,62.86666666666667,71.66666666666667,2003-09-01
USW00093134,2003,10,0.53,80.29032258064517,60.193548387096776,70.58064516129032,2003-10-01
USW00093134,2003,11,0.79,68.86666666666666,50.6,59.96666666666667,2003-11-01
USW00093134,2003,12,1.35,65.80645161290323,47.193548387096776,56.774193548387096,2003-12-01
